temp1,temp2,intensity,warm,temp3,gas,outcome
27,886,3065,32.93,5504,4944,0
29,885,3157,30.81,0,4928,0
29,885,3228,30.93,2464,4928,0
29,884,3215,30.66,1264,4944,0
17,884,3044,33.01,5920,4928,0
29,885,2667,30.72,0,4928,0
29,884,2934,31.07,1952,4928,0
29,885,2941,31.17,720,4944,0
17,886,3267,33.11,5536,4928,0
29,889,2767,31.65,0,4960,0
29,885,3063,31.43,2880,4944,0
30,885,3190,31.56,2032,4944,0
29,886,2921,33.13,3088,4944,0
29,886,3214,31.4,0,4944,0
29,884,3216,31.22,912,4944,0
29,887,3132,31.81,3520,4944,0
17,885,2895,32.95,4352,4960,0
29,885,3324,31.2,1568,4944,0
16,887,3262,33.09,5792,4944,0
29,886,3071,31.31,1920,4944,0
29,882,3436,30.94,1136,4928,0
17,885,3296,33.5,3920,4928,0
29,885,3261,33.59,624,4944,0
16,885,3149,32.79,5328,4928,0
29,884,3336,31.03,1760,4944,0
29,884,3267,31.39,1264,4944,0
16,886,3379,32.76,5760,4944,0
29,885,3279,31.43,1472,4944,0
29,884,3525,31.1,1200,4944,0
16,886,2820,32.36,5984,4944,0
29,885,3065,30.8,1952,4912,0
29,884,3230,30.86,688,4960,0
16,886,3380,32.84,4528,4928,0
26,884,3545,33.45,4864,4944,0
29,884,3362,31.4,656,4944,0
29,884,3173,31.49,2896,4928,0
16,887,3213,32.37,5536,4944,0
29,885,3199,30.63,2640,4912,0
29,884,3009,30.57,1008,4928,0
16,885,2882,32.23,6048,4944,0
29,885,2922,30.82,1952,4944,0
29,885,3224,31.11,912,4944,0
16,886,3139,32.64,4208,4944,0
17,884,3488,32.6,896,4928,0
16,884,3290,32.93,4672,4944,0
16,885,3193,32.84,784,4944,0
16,885,3316,32.92,5600,4944,0
29,872,2873,31.78,0,4944,0
29,885,3011,31.43,2672,4944,0
29,885,3379,31.95,1264,4944,0
16,885,2984,32.48,5920,4912,0
29,884,2852,31.17,1952,4944,0
29,885,3391,31.64,1296,4944,0
29,886,3160,32.95,5008,4944,0
29,884,3241,31.6,0,4912,0
29,886,2828,31.49,3856,4960,0
29,884,3060,31.32,1408,4960,0
29,884,3023,31.42,0,4912,0
29,884,3270,31.45,2768,4912,0
29,885,3066,31.6,1248,4944,0
16,886,3071,32.77,5728,4912,0
29,884,3204,31.71,1968,4944,0
29,885,3325,32.06,976,4944,0
17,887,3281,32.88,3536,4944,0
20,886,3204,33.05,416,4928,0
16,885,3367,32.77,4304,4912,0
26,885,3032,32.74,5168,4912,0
29,885,3074,31.6,352,4912,0
29,886,3015,31.7,2960,4944,0
29,885,3160,31.81,0,4960,0
29,885,3613,31.71,3088,4944,0
29,884,3376,31.41,1088,4928,0
16,886,3075,33.06,5200,4944,0
29,885,2912,31.57,2240,4912,0
29,885,2911,31.79,1696,4944,0
16,887,3229,32.7,5616,4912,0
26,885,3009,31.21,0,4912,0
29,885,3207,31.37,2336,4960,0
29,884,3391,31.32,1840,4928,0
16,887,3266,32.7,5264,4928,0
29,883,2774,31.72,0,4928,0
29,886,3222,31.66,2464,4960,0
29,885,3373,31.47,816,4928,0
16,885,3142,32.81,5760,4960,0
29,886,3297,31.43,2016,4944,0
29,884,3280,31.17,1296,4912,0
29,886,3282,33.22,4976,4912,0
29,886,3477,31.72,0,4944,0
29,886,2764,31.56,2880,4960,0
29,885,2950,31.26,576,4944,0
17,887,3215,33.25,4976,4928,0
29,890,2759,31.78,0,4944,0
29,885,3394,31.67,2832,4912,0
29,884,3234,31.17,720,4944,0
29,885,3027,31.25,0,4928,0
29,887,2960,31.28,3616,4944,0
29,884,3264,31.2,880,4944,0
16,887,2969,32.81,5616,4944,0
29,885,3108,31.45,2416,4960,0
29,882,3644,32.1,1088,4960,0
17,887,3098,32.95,4912,4928,0
29,876,2834,31.34,0,4944,0
29,884,3023,31.05,2896,4928,0
29,883,3371,31.21,592,4944,0
16,887,3155,32.8,5872,4944,0
29,885,3208,31.76,3024,4944,0
29,884,3101,31.63,1296,4928,0
16,888,3008,33.02,5760,4928,0
29,886,3196,31.59,2560,4912,0
29,885,3591,31.5,1088,4944,0
29,886,3058,32.81,3392,4912,0
29,885,3247,31.54,0,4928,0
29,885,3119,31.67,976,4928,0
29,886,3580,31.58,3344,4928,0
29,886,3321,32.24,2400,4944,0
29,883,3626,32.3,0,4944,0
15,884,2811,32.47,6272,4896,0
18,884,3362,31.4,2288,4944,0
29,885,3239,31.44,1040,4928,0
14,870,3595,38.54,3440,4928,0
16,888,2883,32.72,4464,4928,0
16,885,3476,32.72,912,4928,0
16,887,3080,32.75,6048,4944,0
29,885,3167,31.93,2592,4928,0
29,885,3244,32.11,1664,4944,0
16,886,3162,32.99,5600,4944,0
29,882,2786,31.91,0,4896,0
29,885,3218,31.83,2960,4960,0
29,884,3127,31.8,1408,4944,0
17,886,3169,33.05,5472,4928,0
29,887,3066,31.85,0,4944,0
29,884,3037,31.59,3568,4944,0
29,886,3241,31.68,1504,4912,0
29,886,3309,33.06,4848,4944,0
29,883,3404,31.97,0,4928,0
29,886,3348,31.95,3152,4928,0
29,885,3179,31.28,624,4928,0
14,870,3295,43.8,3072,4928,0
16,886,3193,32.99,4208,4928,0
16,883,3516,32.9,880,4912,0
16,885,3059,33.01,6128,4992,0
29,887,3029,31.8,2896,4960,0
29,886,3557,31.81,1520,4944,0
16,887,2962,32.65,5472,4944,0
29,885,3058,31.29,2368,4912,0
29,885,3121,31.66,848,4688,0
19,885,3421,32.93,4160,4944,0
29,887,2822,31.36,0,4944,0
29,886,3188,31.36,656,4960,0
29,884,3421,31.39,3280,4928,0
21,885,3406,33.74,3632,4912,1
29,884,3426,34.01,752,4928,1
14,887,3490,34.07,7232,4960,1
18,885,3436,33.81,768,4896,1
28,885,3432,34.18,3568,4944,1
16,884,3246,33.14,4432,4928,1
17,884,3740,33.34,144,4944,1
16,885,3130,32.91,5920,4928,1
29,884,3247,32.16,1504,4928,1
29,884,3173,32.26,320,4928,1
20,886,3430,33.11,5200,4944,1
29,886,2872,31.84,0,4944,1
29,885,3427,31.69,2928,4896,1
29,884,3256,31.45,1504,4960,1
18,885,0,32.94,5120,4944,1
29,883,3416,31.44,0,4928,1
29,886,3286,31.17,2768,4912,1
29,884,3077,31.65,1104,4944,1
29,885,3163,31.96,0,4944,0
29,885,2788,31.91,2592,4944,0
29,883,3434,31.83,688,4912,0
16,887,3338,33.39,5360,4912,0
29,886,3568,32.73,0,4928,0
29,886,2868,32.42,2656,4928,0
29,884,3613,32.06,1536,4944,0
29,884,3391,31.94,0,4944,0
29,885,3619,31.68,3440,4944,0
29,884,3306,31.87,1600,4960,0
29,886,3028,31.54,0,4944,0
29,886,2800,31.41,2960,4928,0
29,884,3313,31.38,1344,4928,0
16,886,3413,32.83,4672,4944,0
29,884,3560,32.11,2208,4944,0
29,884,3359,32.24,896,4912,0
16,885,3408,33.33,5408,4960,0
29,864,2864,31.64,0,4944,0
29,884,3405,31.47,2752,4944,0
29,883,3212,31.81,832,4944,0
16,886,3230,33,6048,4944,0
29,885,3148,32.15,3216,4944,0
29,884,3022,31.96,1840,4928,0
16,887,3000,33.04,6048,4896,0
27,885,3167,32.45,2160,4944,0
29,884,3637,31.94,1664,4960,0
29,885,3253,32.63,0,4944,0
29,885,3410,32.79,3184,4944,0
29,885,3287,32.23,1632,4912,0
16,886,3088,32.94,5488,4960,0
17,887,2862,31.72,0,4928,0
29,884,3216,31.46,2880,4944,0
29,885,3005,31.94,1536,4928,0
15,887,3243,32.82,6176,4912,0
19,884,3164,31.85,1568,4944,0
29,884,3182,31.47,784,4944,0
16,885,2873,33.01,5920,4912,0
21,884,3221,31.97,1904,4896,0
29,884,3454,32.29,1104,4944,0
16,885,3267,32.93,4464,4944,0
16,886,3405,32.86,1216,4944,0
16,885,3032,32.62,5696,4944,0
